Results Based on Closing Over/Under Line
All Teams
Closing Over/Under	Game Count	Record	Over %	Under %	Push %	Average Score
212.5	1	0-1-0	0.0%	100.0%	0.0%	117.00
197	1	0-1-0	0.0%	100.0%	0.0%	134.00
195	1	0-1-0	0.0%	100.0%	0.0%	154.00
194	1	0-1-0	0.0%	100.0%	0.0%	117.00
192	1	0-1-0	0.0%	100.0%	0.0%	184.00
190.5	1	1-0-0	100.0%	0.0%	0.0%	213.00
189.5	2	0-2-0	0.0%	100.0%	0.0%	165.50
188.5	2	2-0-0	100.0%	0.0%	0.0%	201.00
188	1	1-0-0	100.0%	0.0%	0.0%	225.00
187.5	2	2-0-0	100.0%	0.0%	0.0%	191.00
186.5	2	0-2-0	0.0%	100.0%	0.0%	169.50
185.5	2	1-1-0	50.0%	50.0%	0.0%	187.00
185	1	1-0-0	100.0%	0.0%	0.0%	204.00
184.5	1	1-0-0	100.0%	0.0%	0.0%	207.00
184	3	2-1-0	66.7%	33.3%	0.0%	194.33
183.5	4	0-4-0	0.0%	100.0%	0.0%	160.50
183	2	0-2-0	0.0%	100.0%	0.0%	145.00
182.5	1	1-0-0	100.0%	0.0%	0.0%	190.00
182	4	1-3-0	25.0%	75.0%	0.0%	177.25
181.5	4	4-0-0	100.0%	0.0%	0.0%	203.00
181	3	2-1-0	66.7%	33.3%	0.0%	192.00
180.5	5	5-0-0	100.0%	0.0%	0.0%	198.00
180	5	2-3-0	40.0%	60.0%	0.0%	172.00
179.5	5	4-1-0	80.0%	20.0%	0.0%	196.40
179	8	0-8-0	0.0%	100.0%	0.0%	158.75
178.5	5	3-2-0	60.0%	40.0%	0.0%	184.40
178	7	5-2-0	71.4%	28.6%	0.0%	189.43
177.5	9	4-5-0	44.4%	55.6%	0.0%	173.11
177	7	4-3-0	57.1%	42.9%	0.0%	177.43
176.5	16	6-10-0	37.5%	62.5%	0.0%	175.25
176	10	6-4-0	60.0%	40.0%	0.0%	178.30
175.5	12	7-5-0	58.3%	41.7%	0.0%	177.33
175	16	9-6-1	56.3%	37.5%	6.3%	178.94
174.5	18	11-7-0	61.1%	38.9%	0.0%	183.72
174	11	2-9-0	18.2%	81.8%	0.0%	164.45
173.5	16	7-9-0	43.8%	56.3%	0.0%	171.38
173	17	9-8-0	52.9%	47.1%	0.0%	171.65
172.5	22	9-13-0	40.9%	59.1%	0.0%	168.59
172	17	12-5-0	70.6%	29.4%	0.0%	178.59
171.5	27	15-12-0	55.6%	44.4%	0.0%	171.96
171	22	17-5-0	77.3%	22.7%	0.0%	181.55
170.5	27	11-16-0	40.7%	59.3%	0.0%	168.78
170	31	17-12-2	54.8%	38.7%	6.5%	174.10
169.5	52	22-30-0	42.3%	57.7%	0.0%	166.83
169	39	23-16-0	59.0%	41.0%	0.0%	173.49
168.5	55	22-33-0	40.0%	60.0%	0.0%	164.02
168	52	27-23-2	51.9%	44.2%	3.9%	169.44
167.5	56	29-27-0	51.8%	48.2%	0.0%	167.48
167	67	30-37-0	44.8%	55.2%	0.0%	166.18
166.5	66	39-27-0	59.1%	40.9%	0.0%	168.21
166	67	31-35-1	46.3%	52.2%	1.5%	163.97
165.5	92	37-55-0	40.2%	59.8%	0.0%	162.38
165	109	42-64-3	38.5%	58.7%	2.8%	161.55
164.5	120	61-59-0	50.8%	49.2%	0.0%	164.27
164	135	68-62-5	50.4%	45.9%	3.7%	165.41
163.5	140	79-61-0	56.4%	43.6%	0.0%	167.20
163	155	61-89-5	39.4%	57.4%	3.2%	159.30
162.5	159	81-78-0	50.9%	49.1%	0.0%	163.72
162	173	74-98-1	42.8%	56.7%	0.6%	160.62
161.5	166	86-80-0	51.8%	48.2%	0.0%	162.99
161	182	81-98-3	44.5%	53.9%	1.7%	159.11
160.5	224	110-114-0	49.1%	50.9%	0.0%	160.15
160	273	111-154-8	40.7%	56.4%	2.9%	156.55
159.5	274	141-133-0	51.5%	48.5%	0.0%	160.76
159	276	128-141-7	46.4%	51.1%	2.5%	158.57
158.5	338	185-153-0	54.7%	45.3%	0.0%	160.83
158	364	152-201-11	41.8%	55.2%	3.0%	156.51
157.5	404	189-215-0	46.8%	53.2%	0.0%	156.60
157	399	175-218-6	43.9%	54.6%	1.5%	156.35
156.5	458	213-245-0	46.5%	53.5%	0.0%	155.38
156	478	231-237-10	48.3%	49.6%	2.1%	156.52
155.5	538	269-269-0	50.0%	50.0%	0.0%	156.80
155	573	265-296-12	46.3%	51.7%	2.1%	155.04
154.5	672	315-357-0	46.9%	53.1%	0.0%	154.45
154	697	351-337-9	50.4%	48.4%	1.3%	155.10
153.5	710	329-381-0	46.3%	53.7%	0.0%	153.42
153	743	351-378-14	47.2%	50.9%	1.9%	152.70
152.5	843	424-419-0	50.3%	49.7%	0.0%	153.35
152	826	395-408-23	47.8%	49.4%	2.8%	151.78
151.5	925	443-482-0	47.9%	52.1%	0.0%	151.73
151	944	473-445-26	50.1%	47.1%	2.8%	151.85
150.5	947	465-482-0	49.1%	50.9%	0.0%	150.39
150	1017	514-484-19	50.5%	47.6%	1.9%	151.45
149.5	1034	515-519-0	49.8%	50.2%	0.0%	149.57
149	1063	540-499-24	50.8%	46.9%	2.3%	150.06
148.5	1294	640-654-0	49.5%	50.5%	0.0%	149.03
148	1171	557-589-25	47.6%	50.3%	2.1%	148.07
147.5	1351	674-677-0	49.9%	50.1%	0.0%	148.52
147	1392	657-702-33	47.2%	50.4%	2.4%	147.00
146.5	1477	700-777-0	47.4%	52.6%	0.0%	147.03
146	1430	703-693-34	49.2%	48.5%	2.4%	146.51
145.5	1528	805-723-0	52.7%	47.3%	0.0%	147.07
145	1551	740-767-44	47.7%	49.5%	2.8%	145.36
144.5	1623	796-827-0	49.0%	51.0%	0.0%	145.20
144	1542	728-773-41	47.2%	50.1%	2.7%	144.01
143.5	1653	826-827-0	50.0%	50.0%	0.0%	143.85
143	1639	807-778-54	49.2%	47.5%	3.3%	143.62
142.5	1770	879-891-0	49.7%	50.3%	0.0%	142.79
142	1659	807-818-34	48.6%	49.3%	2.1%	142.81
141.5	1684	832-852-0	49.4%	50.6%	0.0%	141.49
141	1633	805-778-50	49.3%	47.6%	3.1%	141.99
140.5	1620	834-786-0	51.5%	48.5%	0.0%	141.63
140	1739	829-868-42	47.7%	49.9%	2.4%	139.85
139.5	1619	820-799-0	50.7%	49.4%	0.0%	140.25
139	1759	862-855-42	49.0%	48.6%	2.4%	139.63
138.5	1752	876-876-0	50.0%	50.0%	0.0%	138.42
138	1748	878-833-37	50.2%	47.7%	2.1%	139.00
137.5	1772	879-893-0	49.6%	50.4%	0.0%	138.20
137	1794	877-874-43	48.9%	48.7%	2.4%	137.21
136.5	1786	907-879-0	50.8%	49.2%	0.0%	137.30
136	1729	841-846-42	48.6%	48.9%	2.4%	136.86
135.5	1681	830-851-0	49.4%	50.6%	0.0%	136.06
135	1843	857-934-52	46.5%	50.7%	2.8%	135.11
134.5	1666	829-837-0	49.8%	50.2%	0.0%	134.72
134	1568	787-740-41	50.2%	47.2%	2.6%	135.10
133.5	1496	755-741-0	50.5%	49.5%	0.0%	134.42
133	1507	736-740-31	48.8%	49.1%	2.1%	133.29
132.5	1362	679-683-0	49.9%	50.2%	0.0%	132.92
132.2	1	0-1-0	0.0%	100.0%	0.0%	115.00
132	1389	694-672-23	50.0%	48.4%	1.7%	132.93
131.5	1201	619-582-0	51.5%	48.5%	0.0%	132.51
131	1232	603-600-29	48.9%	48.7%	2.4%	131.90
130.5	1182	602-580-0	50.9%	49.1%	0.0%	131.19
130	1158	551-583-24	47.6%	50.4%	2.1%	130.67
129.5	971	504-467-0	51.9%	48.1%	0.0%	130.59
129	1012	490-498-24	48.4%	49.2%	2.4%	129.89
128.5	985	531-454-0	53.9%	46.1%	0.0%	130.08
128	1005	465-509-31	46.3%	50.7%	3.1%	128.19
127.5	861	462-399-0	53.7%	46.3%	0.0%	129.07
127	875	436-411-28	49.8%	47.0%	3.2%	128.19
126.5	763	408-355-0	53.5%	46.5%	0.0%	127.43
126	697	342-335-20	49.1%	48.1%	2.9%	126.83
125.5	686	360-326-0	52.5%	47.5%	0.0%	126.70
125	669	336-320-13	50.2%	47.8%	1.9%	125.96
124.5	532	270-262-0	50.8%	49.3%	0.0%	126.48
124	577	295-269-13	51.1%	46.6%	2.3%	125.17
123.5	450	212-238-0	47.1%	52.9%	0.0%	123.77
123	500	233-252-15	46.6%	50.4%	3.0%	123.75
122.5	370	177-193-0	47.8%	52.2%	0.0%	123.54
122	370	184-176-10	49.7%	47.6%	2.7%	122.61
121.5	321	158-163-0	49.2%	50.8%	0.0%	121.62
121	372	191-176-5	51.3%	47.3%	1.3%	122.04
120.5	274	137-137-0	50.0%	50.0%	0.0%	121.14
120.2	1	1-0-0	100.0%	0.0%	0.0%	140.00
120	267	145-118-4	54.3%	44.2%	1.5%	121.48
119.5	216	115-101-0	53.2%	46.8%	0.0%	121.79
119	231	120-106-5	52.0%	45.9%	2.2%	119.99
118.5	193	94-99-0	48.7%	51.3%	0.0%	118.99
118	194	92-93-9	47.4%	47.9%	4.6%	119.74
117.5	179	94-85-0	52.5%	47.5%	0.0%	119.60
117	162	76-81-5	46.9%	50.0%	3.1%	119.30
116.5	126	67-59-0	53.2%	46.8%	0.0%	117.12
116	113	56-53-4	49.6%	46.9%	3.5%	117.04
115.5	106	64-42-0	60.4%	39.6%	0.0%	119.75
115	93	46-46-1	49.5%	49.5%	1.1%	115.89
114.5	85	48-37-0	56.5%	43.5%	0.0%	117.61
114	73	44-25-4	60.3%	34.3%	5.5%	115.89
113.5	58	25-33-0	43.1%	56.9%	0.0%	111.78
113	50	27-23-0	54.0%	46.0%	0.0%	115.30
112.5	33	17-16-0	51.5%	48.5%	0.0%	115.42
112	38	22-16-0	57.9%	42.1%	0.0%	112.87
111.5	31	17-14-0	54.8%	45.2%	0.0%	112.19
111	28	11-16-1	39.3%	57.1%	3.6%	109.75
110.5	18	11-7-0	61.1%	38.9%	0.0%	117.50
110	27	18-8-1	66.7%	29.6%	3.7%	117.59
109.5	16	9-7-0	56.3%	43.8%	0.0%	112.25
109	18	12-6-0	66.7%	33.3%	0.0%	112.83
108.5	4	2-2-0	50.0%	50.0%	0.0%	112.25
108	13	6-7-0	46.2%	53.9%	0.0%	106.46
107.5	8	3-5-0	37.5%	62.5%	0.0%	100.50
107	8	2-6-0	25.0%	75.0%	0.0%	103.62
106.5	11	9-2-0	81.8%	18.2%	0.0%	113.55
106	7	3-3-1	42.9%	42.9%	14.3%	103.43
105.5	6	2-4-0	33.3%	66.7%	0.0%	97.50
105	5	2-3-0	40.0%	60.0%	0.0%	106.20
104.5	2	2-0-0	100.0%	0.0%	0.0%	114.00
104	4	2-1-1	50.0%	25.0%	25.0%	118.25
103.5	2	2-0-0	100.0%	0.0%	0.0%	126.50
103	2	2-0-0	100.0%	0.0%	0.0%	118.00
102.5	2	1-1-0	50.0%	50.0%	0.0%	103.50
102	2	1-1-0	50.0%	50.0%	0.0%	100.00
101.5	3	3-0-0	100.0%	0.0%	0.0%	120.00
101	4	3-1-0	75.0%	25.0%	0.0%	106.50
100.5	1	1-0-0	100.0%	0.0%	0.0%	103.00
100	2	2-0-0	100.0%	0.0%	0.0%	114.00
99	1	1-0-0	100.0%	0.0%	0.0%	119.00
98.5	2	1-1-0	50.0%	50.0%	0.0%	107.50
81.5	1	1-0-0	100.0%	0.0%	0.0%	183.00
78.5	1	1-0-0	100.0%	0.0%	0.0%	166.00
77.5	1	1-0-0	100.0%	0.0%	0.0%	194.00
75.5	2	2-0-0	100.0%	0.0%	0.0%	165.00
