Results Based on Closing Point Spread
Note: Away and Home records may not add up to All Teams record, due to Neutral site games included in All Teams data.

All Teams	Away Teams	Home Teams
Closing Spread	Game Count	Record	Win %	Average MOV	Record	Win %	Average MOV	Record	Win %	Average MOV
53.5	2	0-2-0	0.0%	-59	0-2-0	0.0%	-59.00	--	--	
52.5	2	0-2-0	0.0%	-35.5	0-2-0	0.0%	-35.50	--	--	
51.5	1	0-1-0	0.0%	-46	0-1-0	0.0%	-46.00	--	--	
50.5	1	0-1-0	0.0%	-40	0-1-0	0.0%	-40.00	--	--	
49.5	1	0-1-0	0.0%	-47	0-1-0	0.0%	-47.00	--	--	
48.5	4	0-4-0	0.0%	-36	0-4-0	0.0%	-36.00	--	--	
48	1	0-1-0	0.0%	-38	0-1-0	0.0%	-38.00	--	--	
47.5	2	0-2-0	0.0%	-36	0-2-0	0.0%	-36.00	--	--	
46.5	2	0-2-0	0.0%	-43.5	0-2-0	0.0%	-43.50	--	--	
45.5	6	0-6-0	0.0%	-38.5	0-6-0	0.0%	-38.50	--	--	
45	1	0-1-0	0.0%	-64	0-1-0	0.0%	-64.00	--	--	
44.5	6	0-6-0	0.0%	-43.67	0-6-0	0.0%	-43.67	--	--	
44	2	0-2-0	0.0%	-43.5	0-2-0	0.0%	-43.50	--	--	
43.5	5	0-5-0	0.0%	-49	0-5-0	0.0%	-49.00	--	--	
43	1	0-1-0	0.0%	-64	0-1-0	0.0%	-64.00	--	--	
42.5	15	0-15-0	0.0%	-37.6	0-14-0	0.0%	-38.36	--	--	
42	2	0-2-0	0.0%	-41.5	0-2-0	0.0%	-41.50	--	--	
41.5	9	0-9-0	0.0%	-37.22	0-9-0	0.0%	-37.22	--	--	
41	3	0-3-0	0.0%	-35.67	0-3-0	0.0%	-35.67	--	--	
40.5	14	0-14-0	0.0%	-35.93	0-13-0	0.0%	-37.77	0-1-0	0.0%	-12.00
40	5	0-5-0	0.0%	-34	0-5-0	0.0%	-34.00	--	--	
39.5	10	0-10-0	0.0%	-31.9	0-10-0	0.0%	-31.90	--	--	
39	7	0-7-0	0.0%	-44.29	0-7-0	0.0%	-44.29	--	--	
38.5	19	0-19-0	0.0%	-37.79	0-19-0	0.0%	-37.79	--	--	
38	11	0-11-0	0.0%	-39.91	0-11-0	0.0%	-39.91	--	--	
37.5	23	0-23-0	0.0%	-37.17	0-23-0	0.0%	-37.17	--	--	
37	19	0-19-0	0.0%	-38	0-19-0	0.0%	-38.00	--	--	
